Country,Continent,Latitude,Longitude,Count,Diversity,Established,Immigrant,TotalNumberSpeakers,TopLanguages,NumberCountries,TopPercentageSpeakers,TopTotalSpeakers,LanguageTree,LanguageTreeParent,TreeSize
Dem. Rep. Congo,Africa,-4.038333,21.758664,214,0.951,212,2,42128230,,,,,,,
Denmark,Europe,56.26392,9.501785,39,0.15,5,34,5924220,,,,,,,
Djibouti,Africa,11.825138,42.590275,10,0.595,5,5,830400,,,,,,,
Dominica,North America,15.414999,-61.370976,5,0.131,3,2,45800,,,,,,,
Dominican Republic,North America,18.735693,-70.162651,9,0.037,4,5,10193500,,,,,,,
East Timor,Asia,-8.874,125.7275,21,0.819,20,1,1040816,,,,,,,
Ecuador,South America,-1.831239,-78.183406,24,0.176,24,0,16665750,,,,,,,
Egypt,Africa,26.820553,30.802498,23,0.509,16,7,94599800,,,,,,,
El Salvador,North America,13.794185,-88.89653,5,0.003,5,0,6378000,,,,,,,
Equatorial Guinea,Africa,1.650801,10.267895,16,0.284,14,2,699150,,,,,,,
Eritrea,Africa,15.179384,39.782334,17,0.65,15,2,5788600,,,,,,,
Estonia,Europe,58.595272,25.013607,20,0.471,7,13,1541760,,,,,,,
Eswatini,Africa,-26.5225,31.466,7,0.246,5,2,1261640,,,,,,,
Ethiopia,Africa,9.145,40.489673,91,0.856,90,1,66766720,,,,,,,
Falkland Islands,South America,-51.796253,-59.523613,2,0.16,1,1,2860,,,,,,,
Faroe Islands,Europe,61.892635,-6.911806,2,?,2,0,48000,,,,,,,
Fiji,Oceania,-16.578193,179.414413,21,0.631,10,11,840900,,,,,,,
Finland,Europe,61.92411,25.748151,38,0.199,13,25,5818940,,,,,,,
France,Europe,46.227638,2.213749,42,0.253,22,20,69961900,,,,,,,
French Guiana,South America,3.933889,-53.125782,16,0.663,13,3,178780,,,,,,,
French Polynesia,Oceania,-17.679742,-149.406843,10,0.463,9,1,257960,,,,,,,
Gabon,Africa,-0.803689,11.609444,44,0.847,43,1,1077960,,,,,,,
Gambia,Africa,13.443182,-15.310139,24,0.776,11,13,1314820,,,,,,,
Georgia,Asia,42.315407,43.356892,27,0.426,20,7,4506220,,,,,,,
Germany,Europe,51.165691,10.451526,95,0.355,25,70,88571690,,,,,,,
Ghana,Africa,7.946527,-1.023194,87,0.858,81,6,27661206,,,,,,,
Gibraltar,Europe,36.137741,-5.345374,3,0.521,2,1,46700,,,,,,,
Greece,Europe,39.074208,21.824312,34,0.161,20,14,11693492,,,,,,,
Greenland,North America,71.706936,-42.604303,3,0.196,3,0,56200,,,,,,,
Grenada,North America,12.262776,-61.604171,4,0.095,4,0,107353,,,,,,,
Guadeloupe,North America,16.995971,-62.067641,4,0.083,3,1,449300,,,,,,,
Guam,Oceania,13.444304,144.793731,9,0.752,2,7,181400,,,,,,,
Guatemala,North America,15.783471,-90.230759,27,0.38,27,0,14708590,,,,,,,
Guernsey,Europe,49.465691,-2.585278,4,0.007,3,1,62720,,,,,,,
Guinea,Africa,9.945587,-9.696645,40,0.731,37,3,11600930,,,,,,,
Guinea-Bissau,Africa,11.803749,-15.180413,30,0.875,23,7,1779010,,,,,,,
Guyana,South America,4.860416,-58.93018,18,0.514,16,2,1319041,,,,,,,
Haiti,North America,18.971187,-72.285215,4,0,4,0,6960600,,,,,,,
Honduras,North America,15.199999,-86.241905,12,0.036,10,2,8982840,,,,,,,
Hungary,Europe,47.162494,19.503304,21,0.029,18,3,9927510,,,,,,,
Iceland,Europe,64.963051,-19.020835,2,0.002,2,0,300300,,,,,,,
India,Asia,20.593684,78.96288,453,0.9,447,6,1257421714,,,,,,,
Indonesia,Asia,-0.789275,113.921327,710,0.843,707,3,222191197,,,,,,,
Iran,Asia,32.427908,53.688046,84,0.62,79,5,82927520,,,,,,,
